       122863,000000             0,000001             0,000000
       121840,262096         15850,376765            40,843772
       118788,949241         31438,348745            81,511904
       113759,482904         46505,854213           121,829546
       106834,966600         60803,444724           161,623431
        98129,804129         74094,410891           200,722649
        87787,798047         86158,694663           238,959414
        75979,760625         96796,522658           276,169820
        62900,677771        105831,699971           312,194567
        48766,473919        113114,509689           346,879670
        33810,432530        118524,170140           380,077139
        18279,332612        121970,809442           411,645624
         2429,366306        123396,925230           441,451036
       -13478,093904        122778,306168           469,367120
       -29180,807409        120124,401013           495,275995
       -44419,985104        115478,130373           519,068650
       -58944,544491        108915,145648           540,645397
       -72515,229670        100542,548971           559,916279
       -84908,528197         90497,096917           576,801422
       -95920,320405         78942,919326           591,231353
      -105369,201618         66068,792550           603,147254
      -113099,423337         52085,013718           612,501170
      -118983,406138         37219,929028           619,256171
      -122923,784359         21716,174578           623,386455
      -124854,950635          5826,692726           624,877402
      -124744,076798        -10189,409631           623,725582
      -122591,596452        -26071,092226           619,938703
      -118431,143521        -41559,632297           613,535521
      -112328,950026        -56402,825542           604,545693
      -104382,715269        -70359,068670           593,009588
       -94719,967174        -83201,257515           578,978047
       -83495,944727        -94720,438061           562,512112
       -70891,038121       -104729,152112           543,682697
       -57107,830166       -113064,424774           522,570230
       -42367,788761       -119590,347013           499,264258
       -26907,665540       -124200,213448           473,863011
       -10975,660229       -126818,183019           446,472939
         5172,586392       -127400,438080           417,208217
        21278,105626       -125935,825710           386,190220
        37082,753603       -122445,973495           353,546983
        52333,336887       -116984,880510           319,412626
        66785,645116       -109637,992629           283,926770
        80208,326774       -100520,779487           247,233932
        92386,547142        -89776,838213           209,482912
       103125,371312        -77575,556470           170,826159
       112252,819956        -64109,374045           131,419140
       119622,551032        -49590,688394            91,419697
       125116,126868        -34248,454823            50,987406
       128644,832876        -18324,536481            10,282931
       130151,021402         -2069,862921           -30,532613
       129608,961904         14259,541408           -71,298301
       127025,186469         30406,595747          -111,854021
       122438,327674         46117,205035          -152,041095
       115918,453742         61144,242058          -191,702883
       107565,913731         75251,407826          -230,685380
        97509,713068         88216,910455          -268,837786
        85905,446864         99836,906156          -306,013068
        72932,825181        109928,649851          -342,068499
        58792,830475        118333,307829          -376,866171
        43704,552931        124918,390292          -410,273493
        27901,754058        129579,767830          -442,163658
        11629,212839        132243,242397          -472,416088
        -4861,088278        132865,650434          -500,916848
       -21313,878062        131435,483059          -527,559036
       -37474,551230        127973,015728          -552,243143
       -53093,102264        122529,947336          -574,877381
       -67927,977994        115188,556180          -595,377980
       -81749,790210        106060,387594          -613,669457
       -94344,831961         95284,495048          -629,684852
      -105518,344473         83025,263280          -643,365929
      -115097,485673         69469,848144          -654,663343
      -122933,956035         54825,273598          -663,536784
      -128906,242890         39315,231212          -669,955076
      -132921,450258         23176,631875          -673,896251
      -134916,687687          6655,962981          -675,347587
      -134859,998344         -9994,493025          -674,305611
      -132750,813641        -26520,520860          -670,776077
      -128619,928841        -42669,856635          -664,773907
      -122529,001360        -58196,035131          -656,323097
      -114569,580607        -72862,142023          -645,456601
      -104861,685259        -86444,414496          -632,216180
       -93551,950558        -98735,636232          -616,652218
       -80811,374654       -109548,275951          -598,823517
       -66832,698885       -118717,322732          -578,797058
       -51827,462304       -126102,775972          -556,647739
       -36022,775495       -131591,753193          -532,458084
       -19657,862845       -135100,184634          -506,317931
        -2980,425724       -136574,069907          -478,324092
        13757,118371       -135990,278529          -448,579994
        30301,463982       -133356,883036          -417,195298
        46402,255457       -128713,020361          -384,285500
        61815,876708       -122128,284218          -349,971505
        76309,136021       -113701,658208          -314,379200
        89662,790770       -103560,006213          -277,638992
       101674,859249        -91856,143200          -239,885349
       112163,670150        -78766,515781          -201,256316
       120970,604139        -64488,527661          -161,893030
       127962,486626        -49237,550344          -121,939211
       133033,596061        -33243,664129           -81,540665
       136107,257828        -16748,178407           -40,844762
       137137,000000             0,016494             0,000082
